Season,Age,Team,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player,RSorPO
2006-07,28,LAL,75,364,439,413,111,36,255,2430,Kobe Bryant,Regular Season
2007-08,29,LAL,94,423,517,441,151,40,257,2323,Kobe Bryant,Regular Season
2008-09,30,LAL,90,339,429,399,120,37,210,2201,Kobe Bryant,Regular Season
2009-10,31,LAL,78,313,391,365,113,20,233,1970,Kobe Bryant,Regular Season
2010-11,32,LAL,83,336,419,388,99,12,243,2078,Kobe Bryant,Regular Season
2011-12,33,LAL,66,247,313,264,69,18,204,1616,Kobe Bryant,Regular Season
2012-13,34,LAL,66,367,433,469,106,25,287,2133,Kobe Bryant,Regular Season
2013-14,35,LAL,2,24,26,38,7,1,34,83,Kobe Bryant,Regular Season
2014-15,36,LAL,26,173,199,197,47,7,128,782,Kobe Bryant,Regular Season
2015-16,37,LAL,41,206,247,184,62,13,129,1161,Kobe Bryant,Regular Season
1996-97,18,LAL,1,10,11,11,3,2,14,74,Kobe Bryant,Playoffs
1997-98,19,LAL,7,14,21,16,3,8,11,96,Kobe Bryant,Playoffs
1998-99,20,LAL,13,42,55,37,15,10,31,158,Kobe Bryant,Playoffs
1999-00,21,LAL,26,72,98,97,32,32,55,465,Kobe Bryant,Playoffs
2000-01,22,LAL,29,87,116,97,25,12,51,471,Kobe Bryant,Playoffs
2001-02,23,LAL,28,83,111,87,27,17,54,506,Kobe Bryant,Playoffs
2002-03,24,LAL,16,45,61,62,14,1,42,385,Kobe Bryant,Playoffs
2003-04,25,LAL,18,86,104,121,42,7,61,539,Kobe Bryant,Playoffs
2005-06,27,LAL,4,40,44,36,8,3,33,195,Kobe Bryant,Playoffs
2006-07,28,LAL,1,25,26,22,5,2,22,164,Kobe Bryant,Playoffs
2007-08,29,LAL,18,101,119,117,35,8,70,633,Kobe Bryant,Playoffs
2008-09,30,LAL,19,104,123,126,38,21,59,695,Kobe Bryant,Playoffs
2009-10,31,LAL,26,112,138,126,31,16,79,671,Kobe Bryant,Playoffs
2010-11,32,LAL,8,26,34,33,16,3,31,228,Kobe Bryant,Playoffs
2011-12,33,LAL,16,42,58,52,16,2,34,360,Kobe Bryant,Playoffs
